,Step,Global_Price,Total_Processor_Inventory,Total_Mine_Output,Total_Recycled_Supply,Disrupted_Mines_Count,Mothballed_Mines_Count,Total_Consumer_Demand_Units,Fulfilled_Demand_Units,Unfulfilled_Demand_Units,Avg_Manufacturer_Intensity,Total_Reserves,Embargoed_Mines_Count,Total_Embargoed_Production,Total_Domestic_Stockpile,Closed_Chokepoints_Count,Total_In_Transit
0,0,17100.0,95949.61538461538,94581.90495977325,0.0,1,0,1682692.3076923082,1682692.3076923082,0.0,0.04,129945418.09504023,0,0,0,0,156776.53846153844
1,1,16245.0,95949.61538461538,86514.13449810937,0.0,2,0,1744207.6449197943,1744207.6449197943,0.0,0.04,129858903.96054213,0,0,0,0,5113297.531245972
2,2,15432.75,95949.61538461538,83042.06025183637,0.0,2,0,1807971.8405374398,1621176.9704648205,186794.8700726193,0.04,129775861.90029028,0,0,0,0,2269113.0727293654
3,3,14661.1125,95949.61538461538,78636.86963240696,0.0,3,0,1874067.10760441,1165578.8676492914,708488.2399551186,0.04,129697225.03065789,0,0,0,0,1708467.1590819568
4,4,13928.056874999998,95949.61538461538,75662.79712980759,0.0,2,0,1942578.6646990806,1408599.695255732,533978.9694433493,0.04,129621562.23352808,0,0,0,0,3416468.9207750373
5,5,13231.654031249998,95949.61538461538,76258.93104468472,0.0,2,0,2013594.8457938698,937864.7513131987,1075730.0944806715,0.04,129545303.3024834,0,0,0,0,1227563.6115810857
6,6,13231.654031249998,95949.61538461538,73275.04432151032,0.0,1,0,2087207.2141468287,1627532.374830462,459674.8393163671,0.04,129472028.25816187,0,0,0,0,896320.2712508342
7,7,13231.654031249998,95949.61538461538,73800.06018689493,0.0,0,0,2087207.2141468287,1619180.0735015376,468027.1406452915,0.04,129398228.19797498,0,0,0,0,1329961.3215374302
8,8,13231.654031249998,95949.61538461538,74242.40714870048,0.0,0,0,2087207.2141468287,528131.1017300624,1559076.1124167668,0.04,129323985.79082628,0,0,0,0,997331.8517762591
9,9,13231.654031249998,95949.61538461538,74242.40714870048,0.0,0,0,2087207.2141468287,589426.9901490121,1497780.223997817,0.04,129249743.38367757,0,0,0,0,1064476.4245922936
10,10,13893.236732812498,95949.61538461538,74242.40714870048,0.0,0,0,2087207.2141468287,212660.4173565643,1874546.7967902648,0.04,129175500.97652887,0,0,0,0,1398832.4270502753
11,11,14587.898569453124,95949.61538461538,77112.64716425518,0.0,0,0,2017126.141717021,263012.98450967495,1754113.157207346,0.04,129098388.32936461,0,0,0,0,1029377.5091138973
12,12,15317.29349792578,95949.61538461538,79163.82158897434,0.0,1,0,1949398.1450525804,682733.979032239,1266664.166020342,0.04,129019224.50777565,0,0,0,0,645153.986749996
13,13,16083.15817282207,95949.61538461538,80525.98986159213,0.0,2,0,1883944.21615084,296247.2694659893,1587696.946684851,0.04,128938698.51791406,0,0,0,0,875361.800098509
14,14,16083.15817282207,95949.61538461538,83734.11892521115,0.0,2,0,1820687.9998197968,226115.6840491466,1594572.3157706503,0.04,128854964.39898884,0,0,0,0,1192338.072098423
15,15,16083.15817282207,95949.61538461538,64340.693849899755,0.0,4,0,1820687.9998197968,167422.86177211336,1653265.1380476833,0.04,128790623.70513894,0,0,0,0,820088.2241766492
16,16,16083.15817282207,95949.61538461538,64340.693849899755,0.0,3,0,1820687.9998197968,281182.6480210849,1539505.351798712,0.04,128726283.01128905,0,0,0,0,863564.7654929623
17,17,16083.15817282207,95949.61538461538,60833.539118246976,0.0,4,0,1820687.9998197968,400347.73820434156,1420340.2616154556,0.04,128665449.4721708,0,0,0,0,1253040.2780978107
18,18,16083.15817282207,95949.61538461538,61859.180143888,0.0,3,0,1820687.9998197968,200706.4307453128,1619981.5690744838,0.04,128603590.2920269,0,0,0,0,1046826.7210236391
19,19,16083.15817282207,95949.61538461538,80070.96396994106,0.0,4,0,1820687.9998197968,423016.5497437837,1397671.450076013,0.04,128523519.32805696,0,0,0,0,766313.9204625513
20,20,16083.15817282207,95949.61538461538,80070.96396994106,0.0,3,0,1820687.9998197968,354282.6012879716,1466405.3985318253,0.04,128443448.36408702,0,0,0,0,608527.8896425805
21,21,16083.15817282207,95949.61538461538,78902.6853509464,0.0,3,0,1820687.9998197968,393203.44398150325,1427484.5558382939,0.04,128364545.67873608,0,0,0,0,792371.5623392947
22,22,16083.15817282207,95949.61538461538,82472.73107342745,0.0,4,0,1820687.9998197968,204096.5608725148,1616591.438947282,0.04,128282072.94766265,0,0,0,0,1004001.5018353697
23,23,16083.15817282207,95949.61538461538,82087.00966047228,0.0,4,0,1820687.9998197968,180309.9366031995,1640378.063216597,0.04,128199985.93800217,0,0,0,0,1233947.9681799083
24,24,16083.15817282207,95949.61538461538,82567.68373833381,0.0,4,0,1820687.9998197968,184740.68546207252,1635947.3143577245,0.04,128117418.25426383,0,0,0,0,905754.9797567172
25,25,16083.15817282207,95949.61538461538,82567.68373833381,0.0,2,0,1820687.9998197968,327016.0038321645,1493671.9959876323,0.04,128034850.57052551,0,0,0,0,1034796.499657289
26,26,15279.000264180966,95949.61538461538,83022.56882006775,0.0,1,0,1820687.9998197968,202585.80434222976,1618102.1954775671,0.04,127951828.00170544,0,0,0,0,1121420.2009898536
27,27,14515.050250971917,95949.61538461538,81493.05010832434,0.0,0,0,1887248.1402465112,294378.38017605885,1592869.7600704525,0.04,127870334.95159711,0,0,0,0,811588.7474034474
28,28,13789.29773842332,95949.61538461538,79810.35077382483,0.0,0,0,1956241.5653953003,578670.8317092871,1377570.7336860131,0.04,127790524.60082328,0,0,0,0,1176935.9644256122
29,29,13789.29773842332,95949.61538461538,76087.84265179154,0.0,1,0,2027757.2305252792,274522.1518296143,1753235.0786956653,0.04,127714436.7581715,0,0,0,0,1193730.2292245557
30,30,13789.29773842332,95949.61538461538,76087.84265179154,0.0,1,0,2027757.2305252792,440473.36904682464,1587283.861478455,0.04,127638348.9155197,0,0,0,0,1045142.2273106195
31,31,13789.29773842332,95949.61538461538,76087.84265179154,0.0,1,0,2027757.2305252792,191516.37232684263,1836240.8581984364,0.04,127562261.07286792,0,0,0,0,1270303.5894163707
32,32,13789.29773842332,95949.61538461538,74569.22143159343,0.0,2,0,2027757.2305252792,235856.27753293086,1791900.9529923487,0.04,127487691.85143632,0,0,0,0,1117739.1251637845
33,33,13789.29773842332,95949.61538461538,73406.21697804816,0.0,3,0,2027757.2305252792,244249.95090812937,1783507.27961715,0.04,127414285.63445827,0,0,0,0,915642.281555333
34,34,14478.762625344487,95949.61538461538,68767.59609521384,0.0,4,0,2027757.2305252792,430346.3860207434,1597410.844504536,0.04,127345518.03836305,0,0,0,0,1247797.3029597998
35,35,15202.700756611712,95949.61538461538,71379.69378161622,0.0,5,0,1959672.279314242,210212.71323406324,1749459.5660801795,0.04,127274138.34458144,0,0,0,0,1253259.265150989
36,36,15962.835794442299,95949.61538461538,71317.66690150686,0.0,6,0,1893873.3811432966,289430.57085769414,1604442.810285603,0.04,127202820.67767994,0,0,0,0,1099000.1116938153
37,37,16760.977584164415,95949.61538461538,75842.72670488474,0.0,6,0,1830283.778397006,288984.3038336843,1541299.4745633216,0.04,127126977.95097506,0,0,0,0,1145415.0179684067
38,38,17599.026463372636,95949.61538461538,63133.20654712462,0.0,4,0,1768829.290710513,309751.8646832077,1459077.4260273054,0.04,127063844.74442793,0,0,0,0,1168204.4823429761
39,39,18478.97778654127,95949.61538461538,72749.98369624198,0.0,3,0,1709438.2284345408,284212.0343202071,1425226.1941143344,0.04,126991094.7607317,0,0,0,0,904385.6390570096
40,40,18478.97778654127,95949.61538461538,74937.73355165658,0.0,2,0,1652041.3090059285,363795.51033287705,1288245.7986730514,0.04,126916157.02718003,0,0,0,0,1267327.7524647694
41,41,18478.97778654127,95949.61538461538,78302.25525895137,0.0,1,0,1652041.3090059285,282743.62417717953,1369297.6848287487,0.04,126837854.77192108,0,0,0,0,1225418.6196529844
42,42,18478.97778654127,95949.61538461538,94968.92192561804,0.0,1,0,1652041.3090059285,228666.40592683863,1423374.9030790895,0.04,126742885.84999546,0,0,0,0,1199853.6470805237
43,43,17555.028897214204,95949.61538461538,92116.24984121902,0.0,2,0,1652041.3090059285,287903.74484889506,1364137.5641570333,0.04,126650769.60015425,0,0,0,0,796382.6803422123
44,44,16677.277452353494,95949.61538461538,89390.07410096018,0.0,1,0,1712436.1166440584,427754.8283570779,1284681.28828698,0.04,126561379.5260533,0,0,0,0,1001854.0168904981
45,45,15843.413579735818,95949.61538461538,86504.87514848886,0.0,1,0,1775038.818703328,372696.23997450405,1402342.5787288237,0.04,126474874.6509048,0,0,0,0,1070551.7815288783
46,46,15051.242900749026,95949.61538461538,83048.22113465414,0.0,0,0,1839930.13069498,398562.53155486094,1441367.5991401188,0.04,126391826.42977014,0,0,0,0,1232333.257574927
47,47,14298.680755711574,95949.61538461538,54299.18586132638,0.0,4,0,1907193.7189025818,225536.2751801943,1681657.4437223873,0.04,126337527.24390882,0,0,0,0,1336680.5582541577
48,48,13583.746717925995,95949.61538461538,52152.60263663613,0.0,4,0,1976916.3082554336,311022.96632406965,1665893.3419313643,0.04,126285374.64127219,0,0,0,0,1197043.5528598237
49,49,13583.746717925995,95949.61538461538,50113.34857318039,0.0,4,0,2049187.7941455862,233285.84262504787,1815901.9515205384,0.04,126235261.29269901,0,0,0,0,1393869.2146456968
50,50,14262.934053822295,95949.61538461538,50113.34857318039,0.0,4,0,2049187.7941455862,464663.76637084037,1584524.0277747458,0.04,126185147.94412582,0,0,0,0,1306429.443168728
51,51,14976.080756513411,95949.61538461538,52050.639933463346,0.0,2,0,1980383.2800319751,391708.7606434261,1588674.519388549,0.04,126133097.30419236,0,0,0,0,1442859.9346774984
52,52,15724.884794339083,95949.61538461538,61658.28217310485,0.0,1,0,1913888.9793482563,181896.10369049045,1731992.8756577661,0.04,126071439.02201925,0,0,0,0,1131993.3531748555
53,53,16511.129034056037,95949.61538461538,69459.766441658,0.0,2,0,1849627.3232581373,406076.187554581,1443551.1357035562,0.04,126001979.2555776,0,0,0,0,1177231.2475785185
54,54,17336.68548575884,95949.61538461538,67516.80071983264,0.0,3,0,1787523.3474138447,372726.04296580603,1414797.3044480393,0.04,125934462.45485777,0,0,0,0,828060.5671756931
55,55,18203.519760046784,95949.61538461538,70186.4441746277,0.0,3,0,1727504.6045065715,526760.9306845331,1200743.6738220393,0.04,125864276.01068313,0,0,0,0,828775.4715108403
56,56,19113.695748049122,95949.61538461538,72776.9660642219,0.0,2,0,1669501.0797531663,378232.9835624803,1291268.096190686,0.04,125791499.04461892,0,0,0,0,798227.4049491544
57,57,20069.38053545158,95949.61538461538,90654.6719865925,0.0,1,0,1613445.1092204787,439555.0305788072,1173890.0786416717,0.04,125700844.37263232,0,0,0,0,577414.0895972513
58,58,20069.38053545158,95949.61538461538,90348.43444991464,0.0,1,0,1559271.3008921002,188803.10724844006,1370468.19364366,0.04,125610495.93818241,0,0,0,0,1040127.045432972
59,59,19065.911508679,95949.61538461538,95476.63957811976,0.0,1,0,1559271.3008921002,157209.79548639612,1402061.505405704,0.04,125515019.2986043,0,0,0,0,1004091.7646954064
60,60,18112.61593324505,95949.61538461538,93831.18099259067,0.0,2,0,1616274.6516919055,318410.1628144253,1297864.48887748,0.04,125421188.1176117,0,0,0,0,887969.0312348921
61,61,17206.9851365828,95949.61538461538,92490.24901923737,0.0,1,0,1675361.9130982528,334800.4239472294,1340561.489151023,0.04,125328697.86859247,0,0,0,0,657038.0598882169
62,62,16346.63587975366,95949.61538461538,90719.40365696023,0.0,1,0,1736609.2680610055,336190.1434175972,1400419.1246434085,0.04,125237978.46493551,0,0,0,0,901609.0659945935
63,63,15529.304085765976,95949.61538461538,84405.01031300508,0.0,2,0,1800095.6846023984,291710.2900684222,1508385.394533976,0.04,125153573.4546225,0,0,0,0,892676.9564155804
64,64,14752.838881477677,95949.61538461538,81473.12092160969,0.0,3,0,1865903.017632834,163120.49772385875,1702782.5199089753,0.04,125072100.3337009,0,0,0,0,954400.5635987845
65,65,14015.196937403793,95949.61538461538,75659.91050082348,0.0,4,0,1934116.1144888387,132619.22678640013,1801496.8877024383,0.04,124996440.42320007,0,0,0,0,968070.1139990954
66,66,13314.437090533602,95949.61538461538,72656.82950569682,0.0,3,0,2004822.924329234,281192.14033062744,1723630.7839986063,0.04,124923783.59369437,0,0,0,0,1035359.3972938599
67,67,12648.715236006921,95949.61538461538,64566.80741946927,0.0,3,0,2078114.6115305864,289816.86146001104,1788297.7500705754,0.04,124859216.78627491,0,0,0,0,1654811.3796208894
68,68,12648.715236006921,95949.61538461538,62095.8346888709,0.0,4,0,2154085.6732281283,256708.0406380902,1897377.6325900382,0.04,124797120.95158604,0,0,0,0,1513316.8716866067
69,69,13281.150997807268,95949.61538461538,62095.8346888709,0.0,3,0,2154085.6732281283,187959.2767020247,1966126.3965261036,0.04,124735025.11689717,0,0,0,0,1296157.6742400287
70,70,13945.208547697632,95949.61538461538,64631.526457828884,0.0,1,0,2081759.0575177567,466991.3370092108,1614767.7205085454,0.04,124670393.59043933,0,0,0,0,1173311.1512332603
71,71,14642.468975082515,95949.61538461538,76791.7090018712,0.0,1,0,2011860.9150130362,425367.451771078,1586493.463241958,0.04,124593601.88143747,0,0,0,0,1144195.7775090083
72,72,15374.59242383664,95949.61538461538,79795.8243664947,0.0,1,0,1944309.7061306145,463318.42104989727,1480991.285080717,0.04,124513806.05707097,0,0,0,0,1036066.0049974332
73,73,16143.322045028473,95949.61538461538,81306.06569372758,0.0,1,0,1879026.6290993684,273564.22379391186,1605462.4053054564,0.04,124432499.99137725,0,0,0,0,1050640.060620631
74,74,16950.4881472799,95949.61538461538,85143.45499366509,0.0,1,0,1815935.5280343117,414109.1842332862,1401826.3438010255,0.04,124347356.53638358,0,0,0,0,1132660.853465482
75,75,17798.012554643894,95949.61538461538,78176.46835363211,0.0,3,0,1754962.8040970499,323409.99302029074,1431552.811076759,0.04,124269180.06802994,0,0,0,0,829374.5064958804
76,76,17798.012554643894,95949.61538461538,72515.8099844909,0.0,4,0,1696037.329639154,297878.5252398272,1398158.8043993262,0.04,124196664.25804545,0,0,0,0,703183.9521755378
77,77,17798.012554643894,95949.61538461538,72515.8099844909,0.0,3,0,1696037.329639154,289796.77517306595,1406240.5544660878,0.04,124124148.44806096,0,0,0,0,961328.6285890432
78,78,17798.012554643894,95949.61538461538,74351.6767583627,0.0,1,0,1696037.329639154,142660.55156463527,1553376.7780745185,0.04,124049796.7713026,0,0,0,0,1160214.2854359495
79,79,16908.111926911697,95949.61538461538,85128.01633978695,0.0,0,0,1696037.329639154,160197.62551846867,1535839.704120685,0.04,123964668.75496282,0,0,0,0,1607097.496494735
